Región,Proveedor,PA,Nombre,Provincia,Distrito,Corregimiento,Data (GB),Estado
1,C&W Panamá,116,Esc. San Pedro,Chiriquí,Bugaba,Aserrío de Gariché,108,Normal
1,C&W Panamá,117,Parque Aserrío de Gariche,Chiriquí,Bugaba,Aserrío de Gariché,239,Normal
1,C&W Panamá,118,Esc. Brisas del Río,Chiriquí,Bugaba,Bugaba,51,Normal
1,C&W Panamá,119,Esc. Mata de Bugaba,Chiriquí,Bugaba,Bugaba,62,Fuerza Mayor
1,C&W Panamá,120,Municipio de Bugaba,Chiriquí,Bugaba,Bugaba,18,Normal
1,C&W Panamá,121,C.E.B.G. Cerro Punta,Chiriquí,Tierras Altas,Cerro Punta,9,Normal
1,C&W Panamá,122,Centro de Salud Cerro Punta,Chiriquí,Tierras Altas,Cerro Punta,43,Normal
1,C&W Panamá,123,Esc. Guadalupe/Fernando Eleta Almarán,Chiriquí,Tierras Altas,Cerro Punta,13,Normal
1,C&W Panamá,124,Esc. Nueva Suiza,Chiriquí,Tierras Altas,Cerro Punta,16,Normal
1,C&W Panamá,125,Esc. Gómez,Chiriquí,Bugaba,Gómez,207,Normal
1,C&W Panamá,126,Esc. San Miguel de Exquisito,Chiriquí,Bugaba,Gómez,32,Normal
1,C&W Panamá,128,Biblioteca Catolica,Chiriquí,Bugaba,La Concepción,0,Normal
1,C&W Panamá,129,Biblioteca Pública La Concepción CENTRO ACP,Chiriquí,Bugaba,La Concepción,58,Normal
1,C&W Panamá,131,Centro Cristiano Bugaba,Chiriquí,Bugaba,La Concepción,0,Normal
1,C&W Panamá,132,Esc. Cuesta de Piedra,Chiriquí,Bugaba,La Concepción,2,Normal
1,C&W Panamá,133,Esc. de Solano,Chiriquí,Bugaba,La Concepción,64,Normal
1,C&W Panamá,134,Esc. San Vicente,Chiriquí,Bugaba,La Concepción,3,Normal
1,C&W Panamá,135,Esc. Belen,Chiriquí,Bugaba,La Concepción,1,Fuerza Mayor
1,C&W Panamá,136,Esc. Daniel Octavio Crespo,Chiriquí,Bugaba,La Concepción,2,Normal
1,C&W Panamá,137,I.P.T. Solano,Chiriquí,Bugaba,La Concepción,0,Normal
1,C&W Panamá,139,Parque Central Bugaba,Chiriquí,Bugaba,La Concepción,28,Normal
1,C&W Panamá,140,Parque Infantil (Orillas de la interamericana),Chiriquí,Bugaba,La Concepción,23,Normal
1,C&W Panamá,142,Primaria Justo Abel Castillo,Chiriquí,Bugaba,La Concepción,0,Fuerza Mayor
1,C&W Panamá,143,Centro de Salud La Estrella,Chiriquí,Bugaba,La Estrella,168,Normal
1,C&W Panamá,144,Esc. La Estrella,Chiriquí,Bugaba,La Estrella,185,Normal
1,C&W Panamá,145,Esc. LA TRANCA,Chiriquí,Bugaba,La Estrella,20,Normal
1,C&W Panamá,146,Esc. Sioguí Abajo Nº 2,Chiriquí,Bugaba,La Estrella,23,Normal
1,C&W Panamá,147,Esc. San Andrés,Chiriquí,Bugaba,San Andrés,47,Normal
1,C&W Panamá,148,Esc. San Francisco,Chiriquí,Bugaba,San Andrés,238,Normal
1,C&W Panamá,149,P.C. San Andrés,Chiriquí,Bugaba,San Andrés,5,Normal
1,C&W Panamá,150,Esc. Santa Marta,Chiriquí,Bugaba,Santa Marta,4,Normal
1,C&W Panamá,151,Esc. Manchuila,Chiriquí,Bugaba,Santo Domingo,207,Normal
1,C&W Panamá,152,P.C. Santo Domingo,Chiriquí,Bugaba,Santo Domingo,0,Normal
1,C&W Panamá,153,Centro de Salud Sortova,Chiriquí,Bugaba,Sortová,66,Normal
1,C&W Panamá,154,Bomberos Volcán,Chiriquí,Tierras Altas,Volcán,71,Normal
1,C&W Panamá,155,C.E.B.G. de Volcán,Chiriquí,Tierras Altas,Volcán,18,Normal
1,C&W Panamá,156,Esc. El Bijao,Chiriquí,Tierras Altas,Volcán,0,Fuerza Mayor
1,C&W Panamá,157,Esc. El Valle.,Chiriquí,Tierras Altas,Volcán,55,Fuerza Mayor
1,C&W Panamá,158,Esc. Las Perlas,Chiriquí,Tierras Altas,Volcán,0,Fuerza Mayor
1,C&W Panamá,159,Parque Plaza Volcán,Chiriquí,Tierras Altas,Volcán,7,Normal
1,C&W Panamá,160,Policía Nacional,Chiriquí,Tierras Altas,Volcán,7,Normal
1,C&W Panamá,161,Esc. Chiriquí,Chiriquí,David,Chiriquí,3,Normal
1,C&W Panamá,162,Esc. Chorcha Abajo,Chiriquí,David,Chiriquí,29,Fuerza Mayor
1,C&W Panamá,163,Esc. El Veladero.,Chiriquí,David,Chiriquí,105,Normal
1,C&W Panamá,164,Esc. La Pita,Chiriquí,David,Chiriquí,20,Normal
1,C&W Panamá,165,Esc. Cochea Arriba,Chiriquí,David,Cochea,22,Normal
1,C&W Panamá,166,Aldeas Infantiles SOS,Chiriquí,David,San José de David,67,Normal
1,C&W Panamá,169,Ave. Central David,Chiriquí,David,San José de David,1,Normal
1,C&W Panamá,170,Biblioteca Pública Santiago Anguizola CENTRO ACP,Chiriquí,David,San José de David,10,Normal
1,C&W Panamá,171,Centro de Salud San Mateo,Chiriquí,David,San José de David,60,Normal
1,C&W Panamá,172,Elisa Chiari,Chiriquí,David,San José de David,14,Normal
1,C&W Panamá,173,P.C. Victoriano Lorenzo,Chiriquí,David,San José de David,2,Normal
1,C&W Panamá,174,Esc. de Doleguita,Chiriquí,David,San José de David,1,Fuerza Mayor
1,C&W Panamá,175,Esc. de Lassonde,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,176,Esc. de San Mateo,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,177,Esc. El Varital,Chiriquí,David,San José de David,32,Normal
1,C&W Panamá,178,Esc. María Olimpia de Obaldía,Chiriquí,David,San José de David,7,Normal
1,C&W Panamá,179,Esc. Medalla Milagrosa,Chiriquí,David,San José de David,2,Normal
1,C&W Panamá,180,Esc. Nuevo Vedado,Chiriquí,David,San José de David,17,Normal
1,C&W Panamá,181,Esc. Nvo. Amanecer,Chiriquí,David,San José de David,23,Normal
1,C&W Panamá,182,Esc. Antonio José de Sucre,Chiriquí,David,San José de David,6,Normal
1,C&W Panamá,183,Esc. de los Abanicos,Chiriquí,David,San José de David,111,Normal
1,C&W Panamá,184,Esc. de San Cristobal,Chiriquí,David,San José de David,43,Normal
1,C&W Panamá,185,Esc. Loma Colorada,Chiriquí,David,San José de David,1,Normal
1,C&W Panamá,186,Francisco Morazan,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,188,I.P.T. Arnulfo Arias M.,Chiriquí,David,San José de David,6,Normal
1,C&W Panamá,189,I.P.T. David,Chiriquí,David,San José de David,2,Normal
1,C&W Panamá,190,INADEH David,Chiriquí,David,San José de David,20,Normal
1,C&W Panamá,191,INADEH-Area de Talleres,Chiriquí,David,San José de David,10,Normal
1,C&W Panamá,193,José Maria Roy,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,194,Mercado Público Municipal David,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,195,Municipio de David,Chiriquí,David,San José de David,1,Normal
1,C&W Panamá,196,Parque Cervantes de David,Chiriquí,David,San José de David,2,Normal
1,C&W Panamá,198,Paseo de la Cultura,Chiriquí,David,San José de David,0,Normal
1,C&W Panamá,199,Republica de Francia,Chiriquí,David,San José de David,1,Normal
1,C&W Panamá,200,UNACHI ( Universidad Autonoma de Chiriqui),Chiriquí,David,San José de David,1,Normal
1,C&W Panamá,201,Valle Alto del Río,Chiriquí,David,San José de David,51,Normal
1,C&W Panamá,202,Esc. El Quiteño,Chiriquí,David,Las Lomas,98,Normal
1,C&W Panamá,203,Esc. El Valle,Chiriquí,David,Las Lomas,301,Normal
1,C&W Panamá,204,Esc. LLano Grande Abajo,Chiriquí,David,Las Lomas,50,Normal
1,C&W Panamá,205,Esc. Mata del Nance,Chiriquí,David,Las Lomas,46,Normal
1,C&W Panamá,206,Esc. San José,Chiriquí,David,Las Lomas,15,Normal
1,C&W Panamá,207,P.C. Victoriano Lorenzo,Chiriquí,David,Las Lomas,2,Normal
1,C&W Panamá,208,Parque Llano Arriba,Chiriquí,David,Las Lomas,24,Normal
1,C&W Panamá,209,Esc. AURA ROSA AGUILAR,Chiriquí,David,San Carlos,10,Normal
1,C&W Panamá,210,Hospital Materno Infantil,Chiriquí,David,San Carlos,164,Normal
1,C&W Panamá,211,Hospital Regional de Chiriquí,Chiriquí,David,San Carlos,182,Normal
1,C&W Panamá,212,Universidad Tecnológica San Carlos,Chiriquí,David,San Carlos,0,Normal
1,C&W Panamá,213,Esc. Aguacatal,Chiriquí,David,San Pablo Viejo,3,Normal
1,C&W Panamá,214,Esc. Montilla,Chiriquí,David,San Pablo Viejo,48,Normal
1,C&W Panamá,215,Esc. San Juan del David,Chiriquí,David,San Pablo Viejo,14,Normal
1,C&W Panamá,216,Esc. San Pablo Viejo Arriba,Chiriquí,David,San Pablo Viejo,54,Normal
1,C&W Panamá,218,CEBG Los Algarrobos,Chiriquí,Dolega,Los Algarrobos,2,Normal
1,C&W Panamá,219,Esc. El Flor,Chiriquí,Dolega,Los Algarrobos,207,Normal
1,C&W Panamá,220,Municipio de Dolega,Chiriquí,Dolega,Los Algarrobos,3,Normal
1,C&W Panamá,221,Esc. Las Cañas.,Chiriquí,Dolega,Los Algarrobos,284,Normal
1,C&W Panamá,223,Esc. Los Bejucos,Chiriquí,Dolega,Los Algarrobos,52,Normal
1,C&W Panamá,225,Centro de Salud Los Anastacios,Chiriquí,Dolega,Los Anastacios,39,Normal
1,C&W Panamá,226,Esc. Rincón Largo,Chiriquí,Dolega,Los Anastacios,28,Normal
1,C&W Panamá,227,Esc. Los Anastacios,Chiriquí,Dolega,Los Anastacios,36,Normal
1,C&W Panamá,228,Esc. Primaria Santa Rosa,Chiriquí,Dolega,Los Anastacios,40,Fuerza Mayor
1,C&W Panamá,230,Parque 27 de Noviembre,Chiriquí,Dolega,Los Anastacios,6,Normal
1,C&W Panamá,231,Parque Residencial Altamar,Chiriquí,Dolega,Los Anastacios,9,Normal
1,C&W Panamá,232,Plaza Los Algarrobos,Chiriquí,Dolega,Los Anastacios,0,Normal
1,C&W Panamá,233,Esc. Higuerón.,Chiriquí,Gualaca,Gualaca,118,Normal
1,C&W Panamá,234,Municipio Gualaca,Chiriquí,Gualaca,Gualaca,5,Normal
1,C&W Panamá,235,Parque Gualaca,Chiriquí,Gualaca,Gualaca,0,Fuerza Mayor
1,C&W Panamá,236,Esc. Secundaria Jesús Maria Pla,Chiriquí,Gualaca,Gualaca,210,Normal
1,C&W Panamá,237,Esc. Antonio Anguizola,Chiriquí,Remedios,Remedios,6,Normal
1,C&W Panamá,238,Municipio de Remedios,Chiriquí,Remedios,Remedios,26,Normal
1,C&W Panamá,239,P.C. Arturo D. Motta,Chiriquí,Remedios,Remedios,85,Normal
1,C&W Panamá,240,Esc. Alto de Quiel,Chiriquí,Renacimiento,Cañas Gordas,45,Normal
1,C&W Panamá,241,Esc. Bajos de Chiriquí,Chiriquí,Renacimiento,Cañas Gordas,3,Normal
1,C&W Panamá,242,Esc. Qda. Las Vueltas,Chiriquí,Renacimiento,Cañas Gordas,3,Fuerza Mayor
1,C&W Panamá,243,Esc. Monte Lirio,Chiriquí,Renacimiento,Monte Lirio,3,Normal
1,C&W Panamá,244,Esc. San Antonio Abajo,Chiriquí,Renacimiento,Monte Lirio,227,Normal
1,C&W Panamá,245,Esc. Sta. Clara Abajo,Chiriquí,Renacimiento,Monte Lirio,10,Fuerza Mayor
1,C&W Panamá,246,C.E.B.G. Caizan Fuertes Caminos,Chiriquí,Renacimiento,Plaza de Caisán,7,Normal
1,C&W Panamá,247,Esc. Caisán Arriba,Chiriquí,Renacimiento,Plaza de Caisán,57,Normal
1,C&W Panamá,248,Esc. Altamira,Chiriquí,Renacimiento,Río Sereno,0,Fuerza Mayor
1,C&W Panamá,249,Esc. Piedra Candela,Chiriquí,Renacimiento,Río Sereno,31,Normal
1,C&W Panamá,250,Esc. Río Sereno,Chiriquí,Renacimiento,Río Sereno,81,Normal
1,C&W Panamá,251,Municipo de Renacimiento,Chiriquí,Renacimiento,Río Sereno,21,Normal
1,C&W Panamá,252,Esc. Miraflores.,Chiriquí,Renacimiento,Río Sereno,218,Normal
1,C&W Panamá,253,Parque Río Sereno,Chiriquí,Renacimiento,Río Sereno,27,Normal
1,C&W Panamá,254,Esc. Palmarito,Chiriquí,Renacimiento,Santa Clara,285,Normal
1,C&W Panamá,255,Esc. Sta. Clara,Chiriquí,Renacimiento,Santa Clara,40,Normal
1,C&W Panamá,256,Esc. Las Lajas,Chiriquí,San Félix,Las Lajas,11,Normal
1,C&W Panamá,257,Esc. Sec. de Las Lajas,Chiriquí,San Félix,Las Lajas,0,Normal
1,C&W Panamá,258,Municipio San Félix,Chiriquí,San Félix,Las Lajas,7,Normal
1,C&W Panamá,259,Esc. San Félix,Chiriquí,San Félix,San Félix,47,Normal
1,C&W Panamá,260,Hospital MINSA,Chiriquí,San Félix,San Félix,17,Normal
1,C&W Panamá,261,Esc. Boca del Monte,Chiriquí,San Lorenzo,Boca del Monte,117,Normal
1,C&W Panamá,262,Esc. Las Vueltas,Chiriquí,San Lorenzo,Boca del Monte,83,Normal
1,C&W Panamá,263,Esc. Sara V. Campbell,Chiriquí,San Lorenzo,Horconcitos,0,Fuerza Mayor
1,C&W Panamá,264,Municipio San Lorenzo,Chiriquí,San Lorenzo,Horconcitos,34,Normal
1,C&W Panamá,265,Esc. Llano Grande,Chiriquí,San Lorenzo,San Lorenzo,90,Normal
1,C&W Panamá,266,Esc. San Lorenzo,Chiriquí,San Lorenzo,San Lorenzo,165,Normal
1,C&W Panamá,267,I.P.T. Abel Tapiero Miranda,Chiriquí,San Lorenzo,San Lorenzo,25,Normal
1,C&W Panamá,268,Esc. Comun,Chiriquí,Tolé,Tolé,51,Normal
1,C&W Panamá,269,Esc. Santiago Bolaños,Chiriquí,Tolé,Tolé,0,Fuerza Mayor
1,C&W Panamá,270,Municipio Tole,Chiriquí,Tolé,Tolé,5,Normal
1,C&W Panamá,272,Municipio Soloy,Comarca Ngäbe-Buglé,Besikó,Soloy,42,Normal
1,C&W Panamá,276,Municipio Kusapín,Comarca Ngäbe-Buglé,Kusapín,Kusapín,150,Normal
1,C&W Panamá,277,COL. Río Chiriquí,Comarca Ngäbe-Buglé,Kusapín,Río Chiriquí,77,Normal
1,C&W Panamá,278,Municipio Hato Pilón,Comarca Ngäbe-Buglé,Mironó,Hato Pilón,62,Normal
1,C&W Panamá,279,C.E.B.G. Alto Caballero,Comarca Ngäbe-Buglé,Müna,Alto Caballero,290,Normal
1,C&W Panamá,280,C.E.B.G. Cerro Puerco,Comarca Ngäbe-Buglé,Müna,Cerro Puerco,29,Normal
1,C&W Panamá,282,I.P.T.. Chichica,Comarca Ngäbe-Buglé,Müna,Chichica,120,Normal
1,C&W Panamá,284,Esc. Llano Macano,Comarca Ngäbe-Buglé,Müna,Nibra,15,Fuerza Mayor
1,C&W Panamá,286,I.P.T. Sitio Prado,Comarca Ngäbe-Buglé,Müna,Sitio Prado,105,Normal
1,C&W Panamá,287,C.E.B.G. Cerro Iglesias,Comarca Ngäbe-Buglé,Nole Düima,Cerro Iglesias,28,Normal
1,C&W Panamá,288,Municipio Nole Duima,Comarca Ngäbe-Buglé,Nole Düima,Cerro Iglesias,84,Fuerza Mayor
1,C&W Panamá,290,C.E.B.G. Petita Santos,Comarca Ngäbe-Buglé,Nole Düima,Susama,29,Fuerza Mayor
1,C&W Panamá,292,Colegio El Peñón,Comarca Ngäbe-Buglé,Ñürüm,Agua de Salud,123,Normal
1,C&W Panamá,293,Municipio Buenos Aires,Comarca Ngäbe-Buglé,Ñürüm,Buenos Aires,48,Normal
1,C&W Panamá,294,Centro Educativo Cerro Pelado,Comarca Ngäbe-Buglé,Ñürüm,Cerro Pelado,46,Normal
1,C&W Panamá,295,I.P.T.A. Hermana María Mercedes Pérez,Comarca Ngäbe-Buglé,Ñürüm,El Bale,44,Normal
1,C&W Panamá,297,Municipio Atalaya (Cabecera),Veraguas,Atalaya,Jesús Nazareno de Atalaya,61,Normal
1,C&W Panamá,298,PC de Atalaya,Veraguas,Atalaya,Jesús Nazareno de Atalaya,0,Normal
1,C&W Panamá,299,Esc. Eligio Tejada Ortega,Veraguas,Calobre,Calobre,21,Normal
1,C&W Panamá,300,C.E.B.G. San Miguel,Veraguas,Calobre,Calobre,259,Normal
1,C&W Panamá,301,I.P.T. César A. Clavel,Veraguas,Cañazas,San Francisco Javier de Cañazas,0,Fuerza Mayor
1,C&W Panamá,302,Esc. San Pablo (Esc. JOSE David JIMENEZ),Veraguas,La Mesa,Bisvalles,0,Normal
1,C&W Panamá,303,Esc. Zodelda Franco,Veraguas,La Mesa,Bisvalles,62,Normal
1,C&W Panamá,304,Municipio La Mesa,Veraguas,La Mesa,La Mesa,10,Normal
1,C&W Panamá,305,C.E.B.G. Animas de Boro,Veraguas,La Mesa,San Bartolo,177,Normal
